Portfolio,Entity,Item,Type,Departmental Operating $'000,Departmental Non-operating $'000,Departmental External Revenue $'000,Departmental Special Appropriation $'000,Special Accounts $'000,Administered Operating $'000,Administered SPPs $'000,Administered Non-operating $'000,Administered Special Appropriation $'000,Total $'000
PARLIAMENT,Department of the Senate,Outcome 1,Agency Resourcing,29061,0,450,0,0,0,0,0,0,29511
PARLIAMENT,Department of the Senate,Outcome 1,Estimated Actual,27265,0,450,0,0,0,0,0,0,27715
PARLIAMENT,Department of the Senate,Total,Agency Resourcing,29061,0,450,0,0,0,0,0,0,29511
PARLIAMENT,Department of the Senate,Total,Estimated Actual,27265,0,450,0,0,0,0,0,0,27715
PARLIAMENT,Department of the House of Representatives,Outcome 1,Agency Resourcing,29669,0,136,0,0,357,0,0,0,30162
PARLIAMENT,Department of the House of Representatives,Outcome 1,Estimated Actual,27202,0,149,0,0,347,0,0,0,27698
PARLIAMENT,Department of the House of Representatives,Total,Agency Resourcing,29669,0,136,0,0,357,0,0,0,30162
PARLIAMENT,Department of the House of Representatives,Total,Estimated Actual,27202,0,149,0,0,347,0,0,0,27698
PARLIAMENT,Department of Parliamentary Services,Outcome 1,Agency Resourcing,210169,0,16875,0,0,6432,0,0,0,233476
PARLIAMENT,Department of Parliamentary Services,Outcome 1,Estimated Actual,199547,0,16875,0,0,6040,0,0,0,222462
PARLIAMENT,Department of Parliamentary Services,Administered Assets and Liabilities,Agency Resourcing,0,0,0,0,0,0,0,41133,0,41133
PARLIAMENT,Department of Parliamentary Services,Administered Assets and Liabilities,Estimated Actual,0,0,0,0,0,0,0,55200,0,55200
PARLIAMENT,Department of Parliamentary Services,Total,Agency Resourcing,210169,0,16875,0,0,6432,0,41133,0,274609
PARLIAMENT,Department of Parliamentary Services,Total,Estimated Actual,199547,0,16875,0,0,6040,0,55200,0,277662
PARLIAMENT,Parliamentary Budget Office,Outcome 1,Agency Resourcing,9895,0,0,0,0,0,0,0,0,9895
PARLIAMENT,Parliamentary Budget Office,Outcome 1,Estimated Actual,9137,0,0,0,0,0,0,0,0,9137
PARLIAMENT,Parliamentary Budget Office,Total,Agency Resourcing,9895,0,0,0,0,0,0,0,0,9895
PARLIAMENT,Parliamentary Budget Office,Total,Estimated Actual,9137,0,0,0,0,0,0,0,0,9137
PARLIAMENT,,PORTFOLIO TOTAL,Agency Resourcing,278794,0,17461,0,0,6789,0,41133,0,344177
PARLIAMENT,,PORTFOLIO TOTAL,Estimated Actual,263151,0,17474,0,0,6387,0,55200,0,342212
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Outcome 1,Agency Resourcing,200704,0,8789,0,100000,187784,0,0,1069772,1567049
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Outcome 1,Estimated Actual,213496,0,64223,0,100323,166124,0,0,1142977,1687143
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Outcome 2,Agency Resourcing,643590,0,2374,0,581713,51765,0,0,17145,1296587
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Outcome 2,Estimated Actual,572187,0,12841,0,535817,76984,0,0,18221,1216050
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Equity Injections,Agency Resourcing,0,46116,0,0,0,0,0,0,0,46116
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Equity Injections,Estimated Actual,0,57507,0,0,0,0,0,0,0,57507
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Administered Assets and Liabilities,Agency Resourcing,0,0,0,0,0,0,0,237214,0,237214
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Administered Assets and Liabilities,Estimated Actual,0,0,0,0,0,0,0,218214,0,218214
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Total,Agency Resourcing,844294,46116,11163,0,681713,239549,0,237214,1086917,3146966
"AGRICULTURE, FISHERIES AND FORESTRY","Department of Agriculture, Fisheries and Forestry",Total,Estimated Actual,785683,57507,77064,0,636140,243108,0,218214,1161198,3178914
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Pesticides and Veterinary Medicines Authority*,Outcome 1,Agency Resourcing,2260,0,45444,0,0,0,0,0,0,47704
