,,Estimated Actual,Estimate,,
Portfolio,Agency,2023-24 ASL,2024-25 ASL,,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","5,896","6,166",,
"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,177,177,,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,190,195,,
"Agriculture, Fisheries and Forestry",Cotton Research and Development Corporation,21,21,,
"Agriculture, Fisheries and Forestry",Fisheries Research and Development Corporation,40,43,,
"Agriculture, Fisheries and Forestry",Grains Research and Development Corporation,130,130,,
"Agriculture, Fisheries and Forestry",Regional Investment Corporation,95,93,,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,76,81,,
"Agriculture, Fisheries and Forestry",Wine Australia,53,53,,
"Agriculture, Fisheries and Forestry",Portfolio total,"6,678","6,959",,
Attorney-General's,Attorney-General's Department,"2,098","1,994",,
Attorney-General's,Administrative Appeals Tribunal,706,927,,
Attorney-General's,Australian Criminal Intelligence Commission,830,941,,
Attorney-General's,Australian Federal Police,"7,775","7,930",,
Attorney-General's,Australian Financial Security Authority,462,462,,
Attorney-General's,Australian Human Rights Commission,193,183,,
Attorney-General's,Australian Institute of Criminology,22,39,,
Attorney-General's,Australian Law Reform Commission,13,25,,
Attorney-General's,Australian Transaction Reports and Analysis Centre,500,616,,
Attorney-General's,Federal Court of Australia,"1,398","1,474",,
Attorney-General's,High Court of Australia,77,78,,
Attorney-General's,National Anti-Corruption Commission,200,266,,
Attorney-General's,Office of Parliamentary Counsel,133,140,,
Attorney-General's,Office of the Australian Information Commissioner,185,173,,
Attorney-General's,Office of the Commonwealth Ombudsman,283,304,,
Attorney-General's,Office of the Director of Public Prosecutions,443,517,,
Attorney-General's,Office of the Inspector-General of Intelligence and Security,41,69,,
Attorney-General's,Office of the Special Investigator,162,162,,
Attorney-General's,Portfolio total,"15,520","16,299",,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","4,014","4,716",,
"Climate Change, Energy, the Environment and Water",Australian Institute of Marine Science,358,442,,
